Metabolites,Substrate,Temps,Mean,Stdev,Model_idx
Methionine,G0,T6,0.4697986577,0.06711409396,EX_met_L(e)
Methionine,G0,T12,0.4921700224,0.03874834021,EX_met_L(e)
Methionine,G2,T0,0.4697986577,0,EX_met_L(e)
Methionine,G2,T6,0.4921700224,0.03874834021,EX_met_L(e)
Methionine,G2,T12,0.4921700224,0.03874834021,EX_met_L(e)
Methionine,G20,T0,0.4474272931,0.03874834021,EX_met_L(e)
Methionine,G20,T6,0.4921700224,0.03874834021,EX_met_L(e)
Methionine,G20,T12,0.4921700224,0.03874834021,EX_met_L(e)
Phenylalanine,G0,T0,1.212121212,0.06060606061,EX_phe_L(e)
Phenylalanine,G0,T6,1.171717172,0.1851545735,EX_phe_L(e)
Phenylalanine,G0,T12,1.212121212,0.06060606061,EX_phe_L(e)
Phenylalanine,G2,T0,1.171717172,0.03499092541,EX_phe_L(e)
Phenylalanine,G2,T6,1.272727273,0.06060606061,EX_phe_L(e)
Phenylalanine,G2,T12,1.272727273,0.06060606061,EX_phe_L(e)
Phenylalanine,G20,T0,1.151515152,0.1212121212,EX_phe_L(e)
Phenylalanine,G20,T6,1.292929293,0.03499092541,EX_phe_L(e)
Phenylalanine,G20,T12,1.292929293,0.09257728677,EX_phe_L(e)
Proline,G0,T0,0.5217391304,0,EX_pro_L(e)
Proline,G0,T6,0.9275362319,0.132828281,EX_pro_L(e)
Proline,G0,T12,1.014492754,0.05020437123,EX_pro_L(e)
Proline,G2,T0,0.5217391304,0,EX_pro_L(e)
Proline,G2,T6,1.507246377,0.05020437123,EX_pro_L(e)
Proline,G2,T12,1.652173913,0,EX_pro_L(e)
Proline,G20,T0,0.5217391304,0,EX_pro_L(e)
Proline,G20,T6,1.47826087,0.08695652174,EX_pro_L(e)
Proline,G20,T12,1.971014493,0.132828281,EX_pro_L(e)
WheyProtein,G0,T0,0,0,EX_WheyProtein_e
WheyProtein,G0,T6,0,0,EX_WheyProtein_e
WheyProtein,G0,T12,0,0,EX_WheyProtein_e
